character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank,Hán Việt,Nghĩa
这,"辶, 文","This, these, crawl, trail",zhè,"这
├── 辶
└── 文",⿺辶文,① when travelling ⻌ (crawling along the trail) one sees something (culture 文) along the way and talks 言 about it,,,,11,giá|nghiện, 1. Ấy. Như giá sự 這事 sự ấy. <br>2. Một âm là nghiện. Ðón.<br>
为,"力, ⺀","Do, handle, govern, act, be","wéi, wèi","为
├── 力
└── ⺀",⿻力⺀,① rs. and lit. hand ⺤ feeding an elephant 為:  → 爲 → 為 → 为,象,,,12,vi, 1. Dùng như chữ vi 爲.<br>
之,丶,"(possessive particle, literary equivalent of 的[de5]), him, her, it",zhī,"之
├── 𪜋
│   ├── 主
│   │   ├── 王
│   │   └── 丶
│   └── 戈
└── ㇝",⿱丶&CDP-8661;,,,,,13,chi," 1. Chưng, dùng về lời nói liền nối nhau. Như đại học chi đạo 大學之道 chưng đạo đại học. <br>2. Ði. Như Ðằng Văn-Công tương chi Sở 滕文公將之楚 Ðằng Văn-Công sắp đi sang nước Sở. <br>3. Ðến. Như chi tử mỹ tha 之死靡他 đến chết chẳng tới ai. <br>4. Ðấy, là tiếng dùng thay một danh từ nào. Như Thang sử nhân vấn chi 湯使人問之 vua Thang khiến người hỏi đấy (hỏi ai ? tức là hỏi Cát Bá, chữ chi đây là thay hai chữ Cát Bá). <br>5. Ấy. Như chi tử vu quy 之子于歸 người ấy về nhà chồng.<br>"
来,"木, 一, 丷","Come, coming, return, returning",lái,"来
├── 未
│   ├── 木
│   └── 一
└── 丷",⿱木⿱一丷,"① modf. 來 → 来 ② looks like a grain of wheat with it's roots 人, ground 一, stem and spike丨, and leaves 一丷: farmers keep coming back to the fields to plant grain",夹; 参; 因 致 醸,,,14,lai|lãi," 1. Lại. <br>2. Về sau. Như tương lai 將來 về sau này. <br>3. Một âm là lãi. Yên ủi, vỗ về yên ủi kẻ đến với mình.<br>"
大,⼤,"Big, great, vast, large, high,","dà, dài",大,⼤,① a man 人 spreading his arms 一 wide to take something big;  al. 尢: 旡;  → 亣, 甚; 偉; 奪 奮;,,,15,đại|thái," 1. Lớn. <br>2. Tiếng nói gộp. Như đại phàm 大凡 hết thẩy, đại khái 大概, v.v. <br>3. Tiếng nói tôn trọng người. Như khen sự trước tác của người là đại tác 大作 nghĩa là văn chương sách vở làm ra to tát rộng lớn lắm. Các bậc trên như cha, anh, quan trưởng cũng gọi là đại nhân 大人. Anh lớn nhất gọi là đại 大. <br>4. Cho là to. <br>5. Hơn. <br>6. Một âm là thái. Như thái hòa 大和, thái cực 大極, thái lao 大牢, v.v. đều cùng âm nghĩa như chữ thái 太.<br>"
以,"⼂, 乚, ⼈","By means of, thereby, therefore, consider as, in order to","yǐ, Yǐ","以
├── 37473
│   ├── 乚
│   └── 丶
└── 人",⿰⿱⼂乚⼈,① by means of an individual 厶 person 人 much can be achieved,該; 似,,,16,dĩ," 1. Lấy. <br>2. Làm. Như thị kỳ sở dĩ 視其所以 coi thửa sự làm. <br>3. Dùng. Như dĩ tiểu dịch đại 以小易大 dùng nhỏ đổi nhớn. <br>4. Nhân. Như hà kỳ cửu dã tất hữu dĩ dã 何其久也必有以也 sao thửa lâu vậy, ắt có nhân gì vậy. <br>5. Cùng nghĩa với chữ dĩ 已.<br>"
个,"人, 丨","Numerary adjunct, piece, single, individual",gè,"个
├── 人
└── 丨",⿱人丨,① single person 亻 with individual stories 固 ② ⓢ person 丨 having his own roof 𠆢, 厶 夋 尸 自 我 私 吾 己,,,17,cá," 1. Cái, từng cái một gọi là cá, cùng một nghĩa với chữ cá 箇. <br>2. Cái nhà xép, hai bên tả hữu nhà Minh Ðường ngày xưa gọi là tả hữu cá 左右个.<br>"
中,"口, 丨","Central, center, middle, in the midst of, hit (target), attain, china","zhōng, zhòng, Zhōng","中
├── 口
└── 丨",⿻口丨,① something 丨 right in the middle of something else 口; china once was the middle of the world,央; 漢; 奥 内; 𠀐 沖 哀 忠 仲; 串: 患,,,18,trung|trúng," 1. Giữa, chỉ vào bộ vị trong vật thể. Như trung ương 中央 chỗ giữa, trung tâm 中心 giữa ruột, v.v. <br>2. Trong. Như đối với nước ngoài thì gọi nước mình là trung quốc 中國, đối với các tỉnh ngoài thì gọi chỗ kinh đô là trung ương 中央, v.v. <br>3. Ở khoảng giữa hai bên cũng gọi là trung. Như thượng, trung, hạ 上中下 trên, giữa, dưới. Người đứng giữa giới thiệu cho hai người khác gọi là trung nhân 中人 cũng do một nghĩa ấy. <br>4. Ngay, không vẹo không lệch, không quá không thiếu, cũng gọi là trung. Như trung dong 中庸 đạo phải, trung hành 中行 làm phải, trung đạo 中道 đạo chân chính không thiên bên nào v.v. <br>5. Nửa. Như trung đồ 中途 nửa đường, trung dạ 中夜 nửa đêm, v.v. <br>6. Chỉ chung tất cả các chỗ. Như Ngô trung 吳中 trong đất Ngô, Thục trung 蜀中 trong đất Thục, v.v. <br>7. Một âm là trúng.Tin. Như bắn tin gọi là xạ trúng 射中, nói đúng gọi là ngôn trúng 言中, v.v. <br>8. Bị phải. Như trúng phong 中風 bị phải gió, trúng thử 中暑 bị phải nắng, v.v. <br>9. Hợp cách. Như thi cử lấy đỗ gọi là trúng thức 中式, đồ không dùng được gọi là bất trúng dụng 不中用, v.v.<br>10. Ðầy đủ, như chế trúng nhị thiên thạch 制中二天石 phép đủ hai nghìn thạch. <br>11. Cùng âm nghĩa như chữ trọng. Như em thứ hai gọi là trọng đệ 仲第.<br>"
上,"⺊, 一","Above, up, top, superior, highest, go up, send up","shǎng, shàng","上
├── ⺊
└── 一",⿱⺊一,① something above the ground 一: 𠄞 → stake 丨 standing above the ground 丄 → 上," 高 挙 揚 起 登 昇 騰; 峠 叔
",,,19,thượng|thướng," 1. Trên. phàm ở trên đều gọi là thượng. Như thượng bộ 上部 bộ trên, thượng quyển 上卷 quyển trên, thượng đẳng 上等 bực trên, v.v. <br>2. Ngày vua gọi vua là Chủ thượng 主上 gọi ông vua đang đời mình là Kim thượng 今上. <br>3. Một âm là thướng. Lên. Như thướng đường 上堂 lên thềm. <br>4. Dâng lên. Như thướng thư 上書 dâng tờ thư, thướng biểu 上表 dâng biểu, v.v.<br>"
们,"亻, 门",Adjunct pronoun indicate plural,men,"们
├── 亻
└── 门",⿰亻门,① many men 亻 waiting at the gate 門,,,,20,môn, 1. Bọn. Như ngã môn 我們 bọn ta.<br>
到,"一, 厶, 土, 刂","To reach, go to, arrive, been to",dào,"到
├── 至
└── 刂",⿰⿱⿱一厶土刂,① sword 刂 having reached it's destination like the arrow in the ground 至,,,,21,đáo, 1. Ðến nơi. <br>2. Khắp đủ. Như chu đáo 周到.<br>
说,"讠, 丷, 口, 儿","Speak, say, talk, scold, explanation, rumor","shuì, shuō","说
├── 讠
└── 兑
    ├── 丷
    └── 兄
        ├── 口
        └── 儿",⿰讠⿱丷⿱口儿,① money 兑 speaks 言 boldest; it is usually the explanation for many actions of the mouth 言 ② many 八 brothers 兄 defending their family verbally 言 ③ ⓢ looks like a comedian talking into a stand microphone,,,,22,thuyết|duyệt|thuế," 1. Nói, lấy lời nói giải thích rõ sự vật gì ra gọi là thuyết. Như diễn thuyết 演說, thuyết minh 說明. <br>2. Ngôn luận. <br>3. Một âm là duyệt. Cùng nghĩa với chữ 悅. Vui lòng, đẹp lòng. Luận ngữ 論語. Học nhi thời tập chi, bất diệc duyệt hồ 學而時習之，不亦說乎 (Học nhi 學而) học mà thường ôn tập, cũng chẳng thích ư ? <br>4. Lại một âm nữa là thuế. Lấy lời nói dỗ cho người ta theo mình gọi là thuế. Như du thuế 遊說 đi các nơi nói dụ người. Ta quen đọc thuyết cả. Cũng có nghĩa như chữ thoát 脫.<br>"
国,"囗, 玉","Nation, country, nation-state","guó, Guó","国
├── 囗
└── 玉",⿴囗玉,① people wielding spears 戈 with big mouths 口 protecting their one 一 king and borderline 囗 ② ⓢ a country holds it's precious 玉 treasures within it's borders 囗, 国,,,23,quốc," 1. Nước, có đất có dân, có quyền cai trị gọi là nước.<br>"
和,"禾, 口","Harmony, peace, peaceful, calm","hé, Hé, hè, hú, huó, huò","和
├── 禾
└── 口",⿰禾口,① countryside: where one can eat 口 one's rice 禾 in peace and harmony,"靖 康 寧 安 幽 泰 静 妥 穏 鎮 尉; 邦; 軟 柔
",,,24,hòa|họa," 1. Hòa, cùng ăn nhịp với nhau. <br>2. Vừa phải, không thái quá không bất cập gọi là hòa. Mưa gió phải thì gọi là thiên hòa 天和. <br>3. Không trái với ai gọi là hòa. Như hòa khí 和氣. <br>4. Thuận hòa. Như hòa thân 和親, hòa hiếu 和好, v.v. Ðang tranh giành mà xử cho yên vui gọi là hòa. Như hai nước đánh nhau, muốn thôi thì phải bàn với nhau ước với nhau thôi không đánh nhau nữa gọi là hòa nghị 和議, hòa ước 和約, kiện nhau lại giàn hòa với nhau gọi là hòa giải 和解, hòa tức 和息, v.v. <br>5. Vui, nhân dân ai nấy đều yên vui làm ăn thỏa thuận gọi là hòa. Như chánh thông nhân hòa 政通人和 chánh trị thông đạt nhân dân vui hòa. <br>6. Bằng, đều. Làm cho giá đồ đều nhau gọi là hòa giá 和價. <br>7. Pha đều. Như hòa canh 和羹 hòa canh, hòa dược 和藥 hòa thuốc, v.v. <br>8. Cái chuông xe, cũng có khi gọi là loan 鸞, cho nên cũng có khi gọi chuông xe là hòa loan 和鸞. <br>9. Tấm ván đầu áo quan, đời xưa gọi là tiền hòa 前和, bây giờ gọi là hòa đầu 和頭. <br>10. Nước Nhật-bản gọi là hòa quốc 和國, nên chữ Nhật-bản gọi là hòa văn 和文. <br>11. Hòa hiệu 和較 danh từ về môn số học. Số này so với số kia thì số tăng lên gọi là số hòa, số sút đi gọi là số hiệu. <br>12. Hòa-nam 和南 dịch âm tiếng Phạm nghĩa là chắp tay làm lễ, là giốc lòng kính lễ. <br>13. Hòa thượng 和尚 dịch âm tiếng Phạm, nghĩa là chính ông thầy dạy mình tu học. <br>14. Cùng. Như ngã hòa nễ 我和你 ta cùng mày. <br>15. Một âm là họa. Họa lại, kẻ xướng lên trước là xướng 唱, kẻ ứng theo lại là họa 和. Như ta nói xướng họa 唱和, phụ họa 附和, v.v.<br>"
地,"土, 也","Earth, soil, ground, region","de, dì","地
├── 土
└── 也
    ├── 乚
    └── 37387
        ├── ㇆
        └── 丨",⿰土也,"① places 土 with women 也: a man will never forget about it; one's home region is the first and the last 也 place 土 one wants to be
 ② the place 土 where the snakes 也 slither over",壌,,,25,địa," 1. Ðất, đựng chứa muôn vật cõi đời gọi là địa. <br>2. Ðịa vị, cái ngôi của mình được tới, trong phép Phật chia ra mười ngôi bồ-tát gọi là thập-địa 十地 để định rõ chỗ tu hơn kém nhau. <br>3. Chất, nền, phàm vẽ cái gì cũng phải làm nền rồi mới bôi các mùi được, thế là địa. <br>4. Khu đất. <br>5. Chỗ nào ý chí mình tới được gọi là địa. Như tâm địa 心地, kiến địa 見地, v.v. <br>6. Những. Như nghĩa chữ đãn 但. <br>7. Dùng làm tiếng giúp lời. Như hốt địa 忽地, đặc địa 特地, cũng như ta nói chợt vậy, đặc cách thế, v.v.<br>"
也,也,"Also, classical final particle of strong affirmation or identity","yě, Yě","也
├── 乚
└── 37387
    ├── ㇆
    └── 丨",也,① women's genitals  → 也: it's also the first and the last thing men think about ② rs. picture of a snake:  → 也 ③ snakes are also another thing to worry about when hiking in a forest,蛇; 池 施 地 他 馳 ,,,26,dã," 1. Vậy, nhời nói hết câu. Như nghĩa giả nghi dã 義者宜也 nghĩa, ấy là sự nên thế thì làm vậy. Có chỗ dùng làm nhời mở đầu. Như dã tri hương tín nhật ưng sơ 也知鄉信日應疎 vậy biết tin làng ngày phải thưa.<br>"
子,⼦,"Offspring, child, fruit, seed of, 1st terrestrial branch","zǐ, zi",子,⼦,①  → 子 ② 㜽: child 子 being washed in the river 巛,童 肖 児 孝 稚 幼 嬰; 𠫓; 浮 遊 字 学 存 好 季 猛 厚 孫 孔 孤,,,27,tử|tý," 1. Con. Bất luận trai gái đều gọi là tử. <br>2. Nhà thầy, đàn ông nào có đức hạnh học vấn đều gọi là tử cả. Như Khổng-tử 孔子, Mạnh-tử 孟子, v.v. Con cháu gọi người trước cũng gọi là tiên tử 先子, vợ gọi chồng là ngoại tử 外子, chồng gọi vợ là nội tử 內子 đều là tiếng xưng hô tôn quý cả. <br>3. Gã, dùng để gọi các kẻ tầm thường. Như chu tử 舟子 chú lái đò, sĩ tử 士子 chú học trò, v.v. <br>4. Tước tử, tước thứ tư trong năm tước. <br>5. Mầm giống các loài động vật thực vật cũng gọi là tử. Như ngư tử 魚子 giống cá, tàm tử 蠶子 giống tằm, đào tử 桃子 giống đào, lý tử 李子 giống mận, v.v. <br>6. Số lẻ, đối với số nguyên mà nói. Như phần mẫu 分母, phần tử 分子. Phần vốn là mẫu tài 母財, tiền lãi là tử kim 子金, v.v. <br>7. Tiếng giúp lời. Như tập tử 摺子 cái cặp, cháp tử 劄子 cái thẻ, v.v. <br>8. Có nghĩa như chữ từ 慈. <br>9. Một âm là tý, chi đầu trong mười hai chi. Từ mười một giờ đêm đến một giờ đêm là giờ tý.<br>"
时,"日, 寸","Time, season, era, age, period, hour","shí, Shí","时
├── 日
└── 寸",⿰日寸,① time 日 it takes the temple 寺 to do something ② ⓢ small 寸 part  of the day 日 ③ al. 旹: time of the day 日 one arrives 㞢," 度 初 期 昔 悠 久 歴 過 回 暇
",,,28,thì|thời," 1 Mùa. Như tứ thì 四時 bốn mùa. <br>2. Thì. Như bỉ nhất thì thử nhất thì 彼一時，此一時 bấy giờ là một thì, bây giờ là một thì. <br>3. Giờ, một ngày chia 12 giờ, mỗi giờ gọi tên một chi. Như giờ tý, giờ sửu, v.v. <br>4. Thường. Như thì thì như thử 時時如此 thường thường như thế. <br>5. Ðúng thời, đang thời. Như thời vụ 時務 mùa làm ruộng, việc đang đời, thời nghi 時宜 hợp thời (cái mà đời ưa chuộng). <br>6. Cơ hội. Như thừa thì nhi khởi 乘時而起 nhân cơ hội mà nổi lên. Ta quen đọc là chữ thời cả.<br>"
道,"辶, 丷, 一, 自","Path, road, street, method, way, skill",dào,"道
├── 辶
└── 首",⿺辶⿱⿱丷一自,① the leader 首 walks ⻌ at the head 首 and paves the way; he's skilled in many arts, 街 通 路; 県; 導,,,29,đạo|đáo," 1. Đường cái thẳng. <br>2. Đạo lý, là một cái lẽ nhất định ai cũng phải noi đấy mà theo. Như nhân đạo chủ nghĩa 人道主義 cái chủ nghĩa về đạo người , vương đạo 王道 đạo lý của vương giả, bá đạo 霸道 đạo lý của bá giả (nhân nghĩa giả), các nhà tôn giáo đem các lẽ hay trong tôn giáo mình nói cho người biết mà theo gọi là truyền đạo 傳道. <br>3. Ðạo nhãn 道眼 thấy tỏ đạo mầu. <br>4. Ðạo tràng 道場 nơi tu đạo, nơi tu đắc đạo, nơi làm lễ cầu cúng. <br>5. Đạo giáo. Tôn giáo thờ ông Lão Tử 老子 làm tiên sư gọi là đạo giáo 道教. <br>6. Đạo, một tên riêng để chia khu vực trong nước, nhà Đường 唐 chia thiên hạ làm mười đạo, cũng như bây giờ chia ra từng tỉnh vậy. <br>7. Chỉ dẫn, cùng nghĩa như chữ 導. <br>8. Một âm là đáo. Nói, nói rõ nguyên uỷ sự gì gọi là đáo. Như tòng thực đáo lai 從實道來 cứ thực kể ra. Nghe lời nói mà hiểu thấu hết gọi là tri đáo 知道.<br>"
出,"凵, 丨","Go out, send out, stand, produce",chū,"出
└── 山",⿱⿻凵丨凵,① sprout 屮 coming out of a receptacle 凵, 癶; 拙 屈,,,30,xuất|xúy," 1. Ra ngoài, đối lại với chữ nhập 入 vào. <br>2. Mở ra. Như xuất khẩu thành chương 出口成章 mở miệng nên văn chương. <br>3. Bỏ, đuổi. Như xuất thê 出妻 bỏ vợ. <br>4. Sinh ra. Như nhân tài bối xuất 人才輩出 nhân tài ra nhiều. <br>5. Phàm cái gì tự không mà ra có thì gọi là xuất. Như xú thái bách xuất 醜態百出 lộ ra trăm thói xấu. <br>6. Hiện ra. Như hà xuất đồ 河出圖 sông hiện ra bản đồ. <br>7. Hơn. Như xuất loại bạt tụy 出類拔萃 siêu việt hơn cả mọi người. <br>8. Tiêu ra. Như nhập bất phu xuất 入不敷出 số vào chẳng bằng số ra. <br>9. Một âm là xúy. Phàm vật gì tự nó nó ra thì đọc là xuất, vật gì tự nó không ra mà cứ bắt ra thì đọc là xúy.<br>"
而,⽽,"Accordingly, otherwise, and yet, but, nevertheless, you, on the condition that, supposing that, if, and, also",ér,而,⽽,① rs. remnant of a beard and a man and a root:  → 而,,,,31,nhi," 1. Mày. Như nhi ông 而翁 cha mày. <br>2. Mà, vậy, dùng làm trợ ngữ. Như nhi kim an tại 而今安在 mà nay còn đâu, dĩ nhi 已而 đã mà. <br>3. Bèn, lời nói chuyển xuống. Như nhi mưu động can qua ư bang nội 而謀動干戈於邦內 bèn mưu khởi sự đánh nhau ở trong nước. <br>4. Lông má.<br>"
要,"覀, 女","Necessary, essential, necessity, important, demand","yāo, yào","要
├── 覀
└── 女",⿱覀女,① rs. hands 廾 around the head 口 of a child (覀) to be delivered from a woman 女: necessary to deliver a healthy child ② an important western 覀 woman 女 demands whatever she will,,,,32,yếu|yêu," 1. Thiết yếu, đúng sự lý gọi là yếu. Như yếu nghĩa 要義 nghĩa thiết yếu, đề yếu 提要 nhắc cái chỗ thiết yếu lên. <br>2. Rút lại, dùng làm trợ từ. <br>3. Muốn, cầu. <br>4. Một âm là yêu. Yêu cầu. <br>5. Đòi. Như yêu vật 要物 đòi lấy vật gì. <br>6. Ước mong. Như cửu yêu bất vong bình sinh chi ngôn 久要不忘平生之言 (Luận ngữ 論語) ước ao rằng lâu mà vẫn không quên lời nói lúc bình sinh. <br>7. Xét. <br>8. Đón bắt.<br>"
于,"⼲, ⼅","In, on, at, go to, going","yú, Yú","于
├── 干
└── 亅",⿻⼲⼅,① crossing streets ② rs. probably a compass (dividers) for making molds of like shape,怪; 通; 夸 汚 宇 芋 行,,,33,vu|hu," 1. Ði. Như vu quy 于歸 con gái đi lấy chồng. <br>2. Ði lấy. Như trú nhĩ vu mao 晝爾于茅 sớm đi lấy cỏ tranh. <br>3. Chưng, dùng làm lời trợ ngữ. Như chí vu kỳ hạ 至于岐下 đến chưng dưới núi Kỳ. <br>4. So. Như vu Thang hữu quang 于湯有光 so với vua Thang có ý sáng sủa hơn. <br>5. Nhởn nhơ, lờ mờ. Như kỳ giác dã vu vu 其覺也于于 thửa biết vậy lờ mờ. <br>6. Một âm là hu , tiếng tán thán. Như hu ta lân hề 于嗟麟兮 chao ơi con lân kia !<br>"
就,"亠, 口, 小, 尢, 丶","Just, simply, to come, go to, to approach, near, assume, take",jiù,"就
├── 京
│   ├── 37045
│   │   ├── 亠
│   │   └── 口
│   └── 小
└── 尤
    ├── 尢
    └── 丶",⿰⿳亠口小⿺尢丶,① people in the capital 京 are like dogs 尤: they just come and go and take things without asking; they assume their position without thinking,,,,34,tựu," 1. Nên, sự đã nên gọi là sự tựu 事就. <br>2. Tới, theo. Như khứ tựu 去就 bỏ tới. <br>3. Nhời suy chắc. Như tựu lịnh 就令 tới khiến. <br>4. Hay. Như tựu dụng mệnh yên 就用命焉 hay dùng theo mệnh vậy.<br>"
下,"一, 卜","Under, underneath, below, down, inferior, bring down",xià,"下
├── 一
└── 卜",⿱一卜,① something below the ground 一: 𠄟 → 丅 → 下," 戴; 本 塁; 低; 劣; 懸 垂; 落; 降; 与 授; 峠
",,,35,hạ|há," 1. Dưới, đối lại với chữ thượng. Phàm cái gì ở dưới đều gọi là hạ. <br>2. Bề dưới, nhời nói nhún mình với người trên. Như hạ tình 下情 tình kẻ dưới. hạ hoài 下懷 tấm lòng kẻ dưới. <br>3. Một âm là há. Xuống, từ trên xuống dưới. Như há sơn 下山 xuống núi, há lâu 下樓 xuống lầu. 4. Cuốn. Như há kì 下旗 cuốn cờ, há duy 下帷 cuốn màn, v.v.<br>"
得,"彳, 日, 一, 寸","Obtain, get, gain, acquire, can, may, able to","dé, de, děi","得
├── 彳
└── 㝵
    ├── 旦
    │   ├── 日
    │   └── 一
    └── 寸",⿰彳⿱⿱日一寸,① go 彳 get 㝵 something,,,,36,đắc," 1. Ðược. Phàm sự gì cầu mà được gọi là đắc. Nghĩ ngợi mãi mà hiểu thấu được gọi là tâm đắc 心得. <br>2. Trúng. Như đắc kế 得計 mưu được trúng, được như ý mình mưu tính. Sự lợi hại gọi là đắc thất 得失. <br>3. Tham. Như lão giả giới chi tại đắc 老者戒之在得 người già phải răn ở sự tham. <br>4. Tự đắc. Như dương dương tự đắc 揚揚自得 nhơn nhơn tự đắc. <br>5. Hợp, cùng người hợp tính gọi là tương đắc 相得.<br>"
可,"一, 亅, 口","Good, approval, may, can, -able, possibly","kě, kè","可
├── 丁
│   ├── 一
│   └── 亅
└── 口",⿹⿱一亅口,"①  → 可: it is good not to talk 口 too much 丂; approval is given by nodding one's head, not by talking; what can possibly go wrong when everything is good?",宜 良 善; 許 認; 河 奇 何 歌,,,37,khả|khắc, 1. Ưng cho. <br>2. Khá. Như khả dã 可也 khá vậy. <br>3. Một âm là khắc. Khắc hàn 可汗 các nước bên Tây-vực gọi vua chúa họ là khắc hàn.<br>
你,"亻, 𠂊, 小","You, second person pronoun",nǐ,"你
├── 亻
└── 尔
    ├── ⺈
    └── 小",⿰亻⿱𠂊小,① a person 亻 like you 尔,,,,38,#N/A,#N/A
