Status,Count,All Chars,Char 1,Pinyin 1,Rank 1,Char 2,Pinyin 2,Rank 2,Char 2,Pinyin 2,Rank 2,Char 3,Pinyin 3,Rank 3,Char 3,Pinyin 3,Rank 3,Char 4,Pinyin 4,Rank 4,Char 4,Pinyin 4,Rank 4,Notes,
,6,空容穷究穿突,空,kong1/kong4,299,容,rong2,448,穷,qiong2,1300,究,jiu1,528,穿,chuan1,867,突,tu1,586,,,,,
,2,药约,药,yao4,731,约,yao1/yue1,461,,,,,,,,,,,,,,,,,
,3,变恋恐,变,bian4,273,恋,lian4,1655,恐,kong3,813,,,,,,,,,,,,,,
,3,借惜错,借,jie4,1052,惜,xi1,1467,错,cuo4,747,,,,,,,,,,,,,,
,2,短矮,短,duan3,1008,矮,ai3,2398,,,,,,,,,,,,,,,,,
,3,查香某,查,cha2/zha1,563,香,xiang1,678,某,mou3,613,,,,,,,,,,,,,,
,2,雨雪,雨,yu3,847,雪,xue3,997,,,,,,,,,,,,,,,,,
,3,然热熟,然,ran2,61,热,re4,713,熟,shu2,1150,,,,,,,,,,,,,,
,3,雪需零,雪,xue3,997,需,xu1,525,零,ling2,1498,,,,,,,,,,,,,,
,2,丈戈,丈,zhang4,1129,戈,ge1,1928,,,,,,,,,,,,,,,,,
,2,次饮,次,ci4,214,饮,yin3,1233,,,,,,,,,,,,,,,,,
,2,欢观,欢,huan1,723,观,guan1/guan4,343,,,,,,,,,,,,,,,,,
,3,角通解,角,jiao3/jue2,825,通,tong1,209,解,jie3/jie4/xie4,234,,,,,,,,,,,,,,
,2,确碗,确,que4,423,碗,wan3,2042,,,,,,,,,,,,,,,,,
,2,喝渴,喝,he1/he4,1039,渴,ke3,2160,,,,,,,,,,,,,,,,,
,3,啤喂脾,啤,pi2,2884,喂,wei4,2336,脾,pi2,2578,,,,,,,,,,,,,,
,2,亮高,亮,liang4,903,高,gao1,132,,,,,,,,,,,,,,,,,
,6,巾市节布币带,巾,jin1,2134,市,shi4,310,节,jie2/jie1,426,布,bu4,413,币,bi4,1321,带,dai4,358,,,,,
,2,希帮,希,xi1,556,帮,bang1,933,,,,,,,,,,,,,,,,,
,4,水永冰泳,水,shui3,191,永,yong3,757,冰,bing1,1183,泳,yong3,2980,,,,,,,,,,,
,3,冷零邻,冷,leng3,831,零,ling2,1498,邻,lin2,1654,,,,,,,,,,,,,,
,3,子字学,子,zi3/zi,27,字,zi4,347,学,xue2,83,,,,,,,,,,,,,,
,2,存仔,存,cun2,438,仔,zi1/zi3/zai3,1646,,,,,,,,,,,,,,,,,
,5,习勺寸羽匀,习,xi2,771,勺,shao2,3550,寸,cun4,1698,羽,yu3,1669,匀,yun2,2758,,,,,,,,
,2,勺句,勺,shao2,3550,句,ju4,736,,,,,,,,,,,,,,,,,
,4,母每海毒,母,mu3,462,每,mei3,380,海,hai3,215,毒,du2,1077,,,,,,,,,,,
,7,由甲申田单电,由,you2,156,甲,jia3,858,申,shen1,946,田,tian2,714,单,chan2/dan1/shan4,449,电,dian4,298,中,zhong1/zhong4,18,,
,3,里理埋,里,li3,50,理,li3,110,埋,mai2/man2,1774,,,,,,,,,,,,,,
,4,抽油细邮,抽,chou1,1354,油,you2,1115,细,xi4,614,邮,you2,1849,,,,,,,,,,,
,3,男勇界,男,nan2,668,勇,yong3,1172,界,jie4,360,,,,,,,,,,,,,,
,2,全金,全,quan2,150,金,jin1,206,,,,,,,,,,,,,,,,,
,2,今令,今,jin1,216,令,ling4,267,,,,,,,,,,,,,,,,,
,4,会合答给,会,hui4/kuai4,42,合,ge3/he2,187,答,da1/da2,571,给,gei3/ji3,212,,,,,,,,,,,
,2,绍织,绍,shao4,1250,织,zhi1,734,,,,,,,,,,,,,,,,,
,4,台治抬始,台,tai2,393,治,zhi4,294,抬,tai2,1487,始,shi3,383,,,,,,,,,,,
,3,马吗妈,马,ma3,205,吗,ma3/ma,566,妈,ma1,860,,,,,,,,,,,,,,
,4,鸟岛鸡鸭,鸟,niao3,1318,岛,dao3,978,鸡,ji1,1463,鸭,ya1,2446,,,,,,,,,,,
,3,码研础,码,ma3,1652,研,yan2,575,础,chu3,1211,,,,,,,,,,,,,,
,2,与写,与,yu2/yu3/yu4,80,写,xie3,497,,,,,,,,,,,,,,,,,
,2,爱受,爱,ai4,421,受,shou4,251,,,,,,,,,,,,,,,,,
,4,夕多死岁,夕,xi1/xi4,1746,多,duo1,66,死,si3,248,岁,sui4,604,,,,,,,,,,,
,2,外处,外,wai4,129,处,chu3/chu4,207,,,,,,,,,,,,,,,,,
,2,哥歌,哥,ge1,785,歌,ge1/ge1ge,1012,,,,,,,,,,,,,,,,,
,2,顺须,顺,shun4,851,须,xu1,458,,,,,,,,,,,,,,,,,
,2,帅师,帅,shuai4,1227,师,shi1,270,,,,,,,,,,,,,,,,,
,2,朵杂,朵,duo3,1800,杂,za2,926,,,,,,,,,,,,,,,,,
,2,想箱,想,xiang3,118,箱,xiang1,1663,,,,,,,,,,,,,,,,,
,5,相租粗祖姐,相,xiang1/xiang4,122,租,zu1,1550,粗,cu1,1540,祖,zu3,663,姐,jie3,649,,,,,,,,
,3,功切动,功,gong1,406,切,qie1/qie4,400,动,dong4,105,,,,,,,,,,,,,,
,2,黑曾 增,黑,hei1,585,曾 ,,,增,zeng1,519,,,,,,,,,,,,,,
,5,京凉谅惊就,京,jing1,433,凉,liang2,1543,谅,liang4,2136,惊,jing1,639,就,jiu4,34,,,,,,,,
,4,竞竟镜境,竞,jing4,1288,竟,jing4,700,镜,jing4,1402,境,jing4,687,,,,,,,,,,,
,3,亭停亮,亭,ting2,1650,停,ting2,788,亮,liang4,903,,,,,,,,,,,,,,
,4,常堂党掌,常,chang2,192,堂,tang2,815,党,dang3,480,掌,zhang3,896,,,,,,,,,,,
,2,景影,景,jing3,720,影,ying3,474,,,,,,,,,,,,,,,,,
,2,号亏,号,hao2/hao4,506,亏,kui1,1738,,,,,,,,,,,,,,,,,
,2,另别,另,ling4,620,别,bie2/bie4,244,,,,,,,,,,,,,,,,,
,5,兄兑说克支,兄,xiong1,738,兑,dui4,2643,说,shui4/shuo1,22,克,ke4,304,支,zhi1,510,,,,,,,,
,2,祝况,祝,zhu4,1559,况,kuang4,487,,,,,,,,,,,,,,,,,
,3,虫虽蛋,虫,chong2,1476,虽,sui1,435,蛋,dan4,1701,,,,,,,,,,,,,,
,6,鱼色免兔晚换,鱼,yu2,919,色,se4/shai3,317,免,mian3,725,兔,tu4,2494,晚,wan3,674,换,huan4,935,,,,,
,5,央英束决速,央,yang1,975,英,ying1,404,束,shu4,1130,决,jue2,326,速,su4,706,,,,,,,,
,2,筷缺,筷,kuai4,3765,缺,que1,1036,,,,,,,,,,,,,,,,,
,3,觉尚赏,觉,jiao4/jue2,362,尚,shang4,471,赏,shang3,1162,,,,,,,,,,,,,,
,2,历厉,历,li4,491,厉,li4,1457,,,,,,,,,,,,,,,,,
,2,穷究,穷,qiong2,1300,究,jiu1,528,,,,,,,,,,,,,,,,,
,4,皮被破波婆 ,皮,pi2,856,被,bei4,163,破,po4,557,波,bo1,792,婆 ,,,,,,,,,,
,5,技按接枝被,技,ji4,541,按,an4,578,接,jie1,282,枝,zhi1,1430,被,bei4,163,,,,,,,,
,2,怪择,怪,guai4,808,择,ze2/zhai2,1075,,,,,,,,,,,,,,,,,
,3,女安案,女,nu:3/nv3,203,安,an1,172,案,an4,583,,,,,,,,,,,,,,
,2,妹味,妹,mei4,1082,味,wei4,993,,,,,,,,,,,,,,,,,
,3,辛幸南,辛,xin1,1119,幸,xing4,818,南,nan2,200,,,,,,,,,,,,,,
,3,洋样详,洋,yang2,940,样,yang4,113,详,xiang2,1427,,,,,,,,,,,,,,
,4,胖肚脏肤,胖,pang4,2105,肚,du3/du4,1971,脏,zang1/zang4,2009,肤,fu1,2118,,,,,,,,,,,
,3,争净静,争,zheng1,405,净,jing4,1429,静,jing4,802,,,,,,,,,,,,,,
,4,商墙增窗,商,shang1,429,墙,qiang2,1312,增,zeng1,519,窗,chuang1,1180,,,,,,,,,,,
,3,志忘态,志,zhi4,523,忘,wang4,1111,态,tai4,683,,,,,,,,,,,,,,
,3,应兴举,应,ying1/ying4,147,兴,xing1/xing4,432,举,ju3,488,,,,,,,,,,,,,,
,3,公松私,公,gong1,99,松,song1,934,私,si1,962,,,,,,,,,,,,,,
,5,么云层运动,么,ma/me/yao1,75,云,yun2,361,层,ceng2,874,运,yun4,390,动,dong4,105,,,,,,,,
,2,动边,动,dong4,105,边,bian1,300,,,,,,,,,,,,,,,,,
,6,少吵沙炒秒抄,少,shao3/shao4,231,吵,chao3,2362,沙,sha1,878,炒,chao3,3008,秒,miao3,2169,抄,chao1,2157,,,,,
,3,长片卡,长,chang2/zhang3,111,片,pian1/pian4,555,卡,ka3/qia3,913,,,,,,,,,,,,,,
,2,张引,张,zhang1,266,引,yin3,457,,,,,,,,,,,,,,,,,
,2,言信,言,yan2,204,信,xin4,195,,,,,,,,,,,,,,,,,
,2,富福,富,fu4,778,福,fu2,672,,,,,,,,,,,,,,,,,
,3,瓜抓爬,瓜,gua1,1978,抓,zhua1,1181,爬,pa2,1673,,,,,,,,,,,,,,
,4,起赶超趣,起,qi3,79,赶,gan3,944,超,chao1,885,趣,qu4,1194,,,,,,,,,,,
,2,慢漫,慢,man4,920,漫,man4,1679,,,,,,,,,,,,,,,,,
,2,科料,科,ke1,339,料,liao4,660,,,,,,,,,,,,,,,,,
,3,叫加咖,叫,jiao4,329,加,jia1,188,咖,ka1,2881,,,,,,,,,,,,,,
,5,收放激游旅,收,shou1,367,放,fang4,312,激,ji1,871,游,you2,677,旅,lu:3/lv3,1091,,,,,,,,
,2,见贝,见,jian4/xian4,95,贝,bei4,1269,,,,,,,,,,,,,,,,,
,4,页负员贵,页,ye4,1170,负,fu4,772,员,yuan2,241,贵,gui4,746,,,,,,,,,,,
,3,货贺贸,货,huo4,953,贺,he4,1460,贸,mao4,1336,,,,,,,,,,,,,,
,2,现视,现,xian4,106,视,shi4,470,,,,,,,,,,,,,,,,,
,5,费赛责绩惯,费,fei4,560,赛,sai4,1241,责,ze2,626,绩,ji1/ji4,1721,惯,guan4,1461,,,,,,,,
,6,烦须顺颜顾预,烦,fan2,1309,须,xu1,458,顺,shun4,851,颜,yan2,1366,顾,gu4,826,预,yu4,744,,,,,
,3,财败购,财,cai2,758,败,bai4,774,购,gou4,1314,,,,,,,,,,,,,,
,2,货资,货,huo4,953,资,zi1,314,,,,,,,,,,,,,,,,,
,2,段锻,段,duan4,671,锻,duan4,2941,,,,,,,,,,,,,,,,,
,4,场杨扬汤,场,chang3,296,杨,yang2,834,扬,yang2,1061,汤,tang1,1506,,,,,,,,,,,
,2,物吻,物,wu4,160,吻,wen3,2359,,,,,,,,,,,,,,,,,
,2,易踢,易,yi4,467,踢,ti1,2764,,,,,,,,,,,,,,,,,
,3,家豪逐,家,jia1,55,豪,hao2,1528,逐,zhu2,1049,,,,,,,,,,,,,,
,4,像象橡豫,像,xiang4,363,象,xiang4,351,橡,xiang4,3562,豫,yu4,1731,,,,,,,,,,,
,2,原愿,原,yuan2,218,愿,yuan4,591,,,,,,,,,,,,,,,,,
,4,刻咳孩该,刻,ke4,656,咳,hai1/ke2,2648,孩,hai2,641,该,gai1,381,,,,,,,,,,,
,2,读续,读,dou4/du2,828,续,xu4,686,,,,,,,,,,,,,,,,,
,3,义父交,义,yi4,220,父,fu4,437,交,jiao1,334,,,,,,,,,,,,,,
,2,爸爷,爸,ba4,1263,爷,ye2,703,,,,,,,,,,,,,,,,,
,2,义议,义,yi4,220,议,yi4,350,,,,,,,,,,,,,,,,,
,3,较校饺 效,较,jiao4,627,校,jiao4/xiao4,632,饺 ,,,效,xiao4,669,,,,,,,,,,,
,2,经轻,经,jing1,76,轻,qing1,483,,,,,,,,,,,,,,,,,
,3,盒拿事,盒,he2,2311,拿,na2,616,事,shi4,48,,,,,,,,,,,,,,
,2,种钟,种,zhong3/zhong4,85,钟,zhong1,949,,,,,,,,,,,,,,,,,
,2,服脑,服,fu2,357,脑,nao3,798,,,,,,,,,,,,,,,,,
,5,脸险验检捡,脸,lian3,711,险,xian3,791,验,yan4,653,检,jian3,823,捡,jian3,3273,,,,,,,,
,2,脚腿,脚,jiao3/jue2,876,腿,tui3,1555,,,,,,,,,,,,,,,,,
